Ucenje z isolet5:
dw: 9.73551509653e-07
st_iteracij: 61
cas ucenja: 5202.1292901 s

***Testni vzorci***

Povprecna uspesnost: 0.928

Razred Vzorci Uspesnost
0  240  0.967
1  240  0.887
2  240  0.950
3  240  0.917
4  240  0.892
5  238  0.924
6  240  0.908
7  240  0.975
8  240  0.983
9  240  0.971
10  240  0.933
11  240  0.963
12  240  0.867
13  240  0.863
14  240  0.929
15  240  0.808
16  240  0.979
17  240  0.988
18  240  0.967
19  240  0.833
20  240  0.975
21  240  0.825
22  240  0.950
23  240  0.979
24  240  0.983
25  240  0.908

***Učni vzorci***

Povprecna uspesnost: 0.995

Razred Vzorci Uspesnost
0  60  1.000
1  60  1.000
2  60  1.000
3  60  0.967
4  60  1.000
5  60  1.000
6  60  1.000
7  60  1.000
8  60  1.000
9  60  1.000
10  60  0.967
11  60  1.000
12  59  1.000
13  60  1.000
14  60  1.000
15  60  0.983
16  60  1.000
17  60  1.000
18  60  1.000
19  60  0.983
20  60  1.000
21  60  1.000
22  60  1.000
23  60  1.000
24  60  1.000
25  60  0.967
